attributes_LONGITUDE,attributes_LATITUDE,attributes_OFFENSE
-76.9636265737,38.8757625029,THEFT/OTHER
-77.0106034249,38.9133436609,THEFT/OTHER
-77.0161782596,38.9007498932,THEFT F/AUTO
-76.9772835297,38.9095716732,THEFT F/AUTO
-77.0693457347,38.9150185732,THEFT/OTHER
-77.0400781818,38.9103880282,THEFT/OTHER
-76.9955786635,38.8775337805,THEFT/OTHER
-77.0811832718,38.9302858242,THEFT F/AUTO
-76.9844786939,38.8967189211,THEFT/OTHER
-77.0239664272,38.9079088435,THEFT/OTHER
-77.0349260767,38.9572816809,THEFT F/AUTO
-76.9355348796,38.8810854334,BURGLARY
-76.9908826078,38.9025104399,MOTOR VEHICLE THEFT
-77.023456121,38.9085743935,THEFT F/AUTO
-77.0288490823,38.8983139331,THEFT/OTHER
-77.0472469275,38.905585522,THEFT F/AUTO
-76.9869062421,38.9001986979,MOTOR VEHICLE THEFT
-77.031216943,38.9386778427,THEFT/OTHER
-76.9343760873,38.9106681632,SEX ABUSE
-77.0275601016,38.916998906,THEFT/OTHER
-76.9937647391,38.8853090282,THEFT F/AUTO
-76.9632198234,38.9258147962,THEFT F/AUTO
-77.022890222,38.9699227819,THEFT F/AUTO
-76.9973076318,38.8989077821,BURGLARY
-76.9943618578,38.8860310868,THEFT/OTHER
-77.0332415107,38.9169967973,THEFT F/AUTO
-77.0400766367,38.9111266227,THEFT F/AUTO
-77.0731882853,38.9254391356,THEFT/OTHER
-76.9800776686,38.9206391916,MOTOR VEHICLE THEFT
-76.9741770324,38.9389787746,THEFT F/AUTO
-77.0065456205,38.9166362345,MOTOR VEHICLE THEFT
-77.0332543288,38.9083815792,THEFT/OTHER
-77.0239674441,38.9133369095,THEFT F/AUTO
-77.0024166403,38.9438003162,THEFT F/AUTO
-76.9867739886,38.879813272,THEFT/OTHER
-77.0239664272,38.9079088435,THEFT/OTHER
-77.0259863348,38.9049076407,THEFT/OTHER
-77.0081591409,38.9549721196,ROBBERY
-76.9954644055,38.8587509285,ASSAULT W/DANGEROUS WEAPON
-76.994359571,38.8266164366,THEFT F/AUTO
-77.0624008859,38.9092722843,THEFT F/AUTO
-77.0307884596,38.9037374601,THEFT F/AUTO
-77.0602174055,38.9076489549,THEFT F/AUTO
-76.964413194,38.9246569663,THEFT/OTHER
-77.06277646,38.9036984368,THEFT F/AUTO
-77.0005341094,38.8748869988,MOTOR VEHICLE THEFT
-77.0044727163,38.9056436347,THEFT F/AUTO
-77.0279498335,38.9619795615,ASSAULT W/DANGEROUS WEAPON
-76.9953197316,38.8920180311,THEFT/OTHER
-77.025737247,38.969279362,THEFT F/AUTO
-77.014324859,38.9748378665,THEFT F/AUTO
-77.044180238,38.9004549325,THEFT/OTHER
-77.0275560083,38.9013315051,THEFT F/AUTO
-76.9800011896,38.9281299557,MOTOR VEHICLE THEFT
-77.0218983709,38.9183749555,THEFT/OTHER
-76.9913069259,38.9227834663,THEFT F/AUTO
-76.9741738746,38.8978310369,MOTOR VEHICLE THEFT
-76.9759548322,38.9130221422,MOTOR VEHICLE THEFT
-76.9332322436,38.9060685737,THEFT/OTHER
-77.0319511026,38.9175550432,THEFT/OTHER
-76.992579017,38.9182562402,MOTOR VEHICLE THEFT
-76.9824602061,38.8999764193,ASSAULT W/DANGEROUS WEAPON
-76.9909612951,38.9320429051,THEFT F/AUTO
-76.9626072696,38.8719228039,THEFT F/AUTO
-77.0151831847,38.909105362,BURGLARY
-77.0219169019,38.9103842884,BURGLARY
-77.023966461,38.8994314429,THEFT/OTHER
-76.9617373155,38.8698432706,THEFT/OTHER
-76.927965642,38.890272882,THEFT/OTHER
-76.9824602061,38.8999764193,THEFT/OTHER
-77.0275598648,38.9056440731,THEFT/OTHER
-77.0731728595,38.9059108751,MOTOR VEHICLE THEFT
-77.0021628216,38.862550476,MOTOR VEHICLE THEFT
-76.9340669086,38.896890071,THEFT F/AUTO
-76.9617373155,38.8698432706,THEFT/OTHER
-77.0591717505,38.9056419784,THEFT F/AUTO
-77.0380762429,38.9067032936,MOTOR VEHICLE THEFT
-77.0853322335,38.9142305726,THEFT F/AUTO
-76.9827155922,38.9164774036,BURGLARY
-76.924650285,38.9028446705,THEFT/OTHER
-77.0234624657,38.9008737835,THEFT/OTHER
-77.0209061,38.9041653812,MOTOR VEHICLE THEFT
-77.0063850147,38.9155647023,THEFT/OTHER
-77.0288492638,38.90132813,THEFT F/AUTO
-77.0425195927,38.9064533107,THEFT F/AUTO
-77.0442308541,38.9079031095,THEFT F/AUTO
-76.9989793684,38.8947864823,ROBBERY
-76.9826381566,38.879153421,THEFT/OTHER
-77.027033579,38.9175549331,THEFT F/AUTO
-77.0434476851,38.9060563317,THEFT F/AUTO
-77.0537223651,38.9273285696,THEFT/OTHER
-77.0038613959,38.8408694412,ROBBERY
-77.006290959,38.8395147958,THEFT/OTHER
-77.0000435883,38.9191782981,THEFT F/AUTO
-77.0505313184,38.9029557805,THEFT F/AUTO
-77.0063424976,38.82126524,MOTOR VEHICLE THEFT
-77.0194120073,38.9111215236,THEFT F/AUTO
-77.0209230612,38.8751272411,THEFT/OTHER
-77.00903601,38.926249661,ASSAULT W/DANGEROUS WEAPON
-76.9617373155,38.8698432706,THEFT/OTHER
-77.0308687456,38.9342127018,THEFT/OTHER
-77.063338419,38.934650572,THEFT F/AUTO
-77.0254260409,38.9191801261,THEFT/OTHER
-76.9250209139,38.8845568031,THEFT F/AUTO
-77.021548524,38.9161135692,THEFT/OTHER
-76.9881990844,38.9234859329,MOTOR VEHICLE THEFT
-77.0319509248,38.9166434001,THEFT/OTHER
-76.9815533837,38.8465377272,MOTOR VEHICLE THEFT
-77.0477444583,38.9016990258,THEFT/OTHER
-77.0242066905,38.9180686673,THEFT F/AUTO
-77.0074772164,38.9046900373,THEFT F/AUTO
-77.085288276,38.9599119666,THEFT/OTHER
-76.9859473105,38.8990983956,THEFT/OTHER
-76.9746896712,38.8947762469,THEFT F/AUTO
-76.9979213989,38.8262303093,THEFT F/AUTO
-77.0219893079,38.9204764909,ROBBERY
-77.0259863348,38.9049076407,THEFT/OTHER
-76.9200487035,38.8897508307,MOTOR VEHICLE THEFT
-77.0242053447,38.9620068809,ASSAULT W/DANGEROUS WEAPON
-77.0327298633,38.9295168861,THEFT F/AUTO
-76.9835709381,38.9155329133,THEFT F/AUTO
-77.0182482635,38.9177958965,THEFT/OTHER
-76.9968136144,38.8458584309,THEFT/OTHER
-77.0327298633,38.9295168861,MOTOR VEHICLE THEFT
-76.9815533837,38.8465377272,THEFT/OTHER
-77.066935739,38.9050883689,MOTOR VEHICLE THEFT
-76.9883169405,38.8882963614,MOTOR VEHICLE THEFT
-77.0239448173,38.9173767915,THEFT F/AUTO
-77.0288490823,38.8983139331,THEFT/OTHER
-76.9343760873,38.9106681632,MOTOR VEHICLE THEFT
-77.0189262831,38.9103815681,THEFT F/AUTO
-76.9850593418,38.8581915366,ASSAULT W/DANGEROUS WEAPON
-77.0296233564,38.9042855592,THEFT F/AUTO
-77.0364853732,38.9255188753,THEFT F/AUTO
-77.053295048,38.904446516,ASSAULT W/DANGEROUS WEAPON
-77.0957816153,38.945126307,THEFT F/AUTO
-77.0240062317,38.904908695,THEFT F/AUTO
-77.000927151,38.8775268765,ASSAULT W/DANGEROUS WEAPON
-77.0270360333,38.9079079032,ROBBERY
-76.9676370248,38.85947761,THEFT/OTHER
-77.0399279894,38.9279693628,THEFT/OTHER
-77.0033001635,38.8347414278,ASSAULT W/DANGEROUS WEAPON
-76.9931402028,38.9222166046,THEFT/OTHER
-76.9528994141,38.9198458716,THEFT/OTHER
-76.9563814159,38.8851889275,MOTOR VEHICLE THEFT
-76.922489524,38.9007154812,MOTOR VEHICLE THEFT
-76.9676370248,38.85947761,THEFT/OTHER
-77.0296222242,38.8990606228,THEFT/OTHER
-77.0285261423,38.9100262214,THEFT F/AUTO
-77.0653443342,38.9473144061,THEFT/OTHER
-77.0131214227,38.9133439458,THEFT F/AUTO
-76.9476475094,38.8966558827,ROBBERY
-76.991793607,38.8624144572,THEFT F/AUTO
-77.0710479911,38.9386212326,THEFT F/AUTO
-76.9955642497,38.8989101612,THEFT F/AUTO
-77.0319518232,38.9186485641,THEFT/OTHER
-77.0149269258,38.9500912211,THEFT/OTHER
-76.9984500666,38.8985193623,MOTOR VEHICLE THEFT
-76.9855070981,38.8892369715,THEFT/OTHER
-77.0265141995,38.8998169908,THEFT/OTHER
-77.0259863348,38.9049076407,THEFT/OTHER
-77.0050157617,38.8764812582,MOTOR VEHICLE THEFT
-77.0307853973,38.9118680339,THEFT F/AUTO
-77.0276535855,38.9534936698,MOTOR VEHICLE THEFT
-77.0022613619,38.8466694137,THEFT/OTHER
